frontend,backend,database,response_time,frontend_cpu_usage,frontend_memory_usage,frontend_pods,frontend_ssd,backend_cpu_usage,backend_memory_usage,backend_pods,backend_ssd,database_cpu_usage,database_memory_usage,database_pods,database_ssd
jura-worker-3,jura-worker-1,jura-worker-2,7.822976,0.01,0.22,1,True,0.9,0.59,2,False,0.25,0.28,1,False
jura-worker-3,jura-worker-4,jura-worker-4,6.748473,0.01,0.22,1,True,0.05,0.28,2,True,0.05,0.28,2,True
jura-worker-1,jura-worker-4,jura-worker-1,7.604992,0.94,0.6,3,False,0.01,0.25,1,True,0.94,0.6,3,False
jura-worker-2,jura-worker-4,jura-worker-1,6.819531,0.02,0.25,1,False,0.01,0.25,1,True,0.91,0.54,2,False
jura-worker-2,jura-worker-4,jura-worker-4,6.773592,0.02,0.25,1,False,0.14,0.28,2,True,0.14,0.28,2,True
jura-worker-2,jura-worker-3,jura-worker-4,6.623167,0.03,0.25,1,False,0.01,0.25,1,True,0.03,0.26,1,True
jura-worker-4,jura-worker-2,jura-worker-2,6.481841,0.01,0.23,1,True,0.22,0.3,2,False,0.22,0.3,2,False
jura-worker-1,jura-worker-2,jura-worker-2,6.618771,0.9,0.55,2,False,0.41,0.3,2,False,0.41,0.3,2,False
jura-worker-3,jura-worker-3,jura-worker-4,6.779863,0.01,0.26,2,True,0.01,0.26,2,True,0.1,0.26,1,True
jura-worker-3,jura-worker-2,jura-worker-3,6.859462,0.26,0.29,2,True,0.1,0.27,1,False,0.26,0.29,2,True
jura-worker-1,jura-worker-1,jura-worker-2,8.674354,0.9,0.6,3,False,0.9,0.6,3,False,0.19,0.28,1,False
jura-worker-2,jura-worker-4,jura-worker-1,6.861653,0.02,0.26,1,False,0.05,0.25,1,True,0.92,0.59,2,False
jura-worker-2,jura-worker-1,jura-worker-3,7.852943,0.03,0.25,1,False,0.9,0.59,2,False,0.11,0.27,1,True
jura-worker-2,jura-worker-4,jura-worker-2,6.436406,0.03,0.29,2,False,0.01,0.25,1,True,0.03,0.29,2,False
jura-worker-1,jura-worker-4,jura-worker-2,7.088273,0.9,0.56,2,False,0.01,0.25,1,True,0.2,0.28,1,False
jura-worker-2,jura-worker-1,jura-worker-2,7.602428,0.52,0.29,2,False,0.9,0.59,2,False,0.52,0.29,2,False
jura-worker-3,jura-worker-2,jura-worker-3,6.553405,0.13,0.28,2,True,0.02,0.27,1,False,0.13,0.28,2,True
jura-worker-1,jura-worker-2,jura-worker-4,6.812821,0.91,0.56,2,False,0.1,0.27,1,False,0.26,0.26,1,True
jura-worker-3,jura-worker-4,jura-worker-2,6.780542,0.01,0.22,1,True,0.01,0.25,1,True,0.19,0.28,1,False
jura-worker-2,jura-worker-1,jura-worker-2,7.27817,0.49,0.29,2,False,0.9,0.59,2,False,0.49,0.29,2,False
jura-worker-2,jura-worker-4,jura-worker-4,7.092633,0.02,0.25,1,False,0.1,0.28,2,True,0.1,0.28,2,True
jura-worker-1,jura-worker-1,jura-worker-1,7.900961,0.94,0.67,4,False,0.94,0.67,4,False,0.94,0.67,4,False
jura-worker-3,jura-worker-3,jura-worker-4,6.597882,0.01,0.26,2,True,0.01,0.26,2,True,0.1,0.26,1,True
jura-worker-2,jura-worker-4,jura-worker-1,6.614813,0.02,0.26,1,False,0.05,0.25,1,True,0.92,0.62,2,False
jura-worker-2,jura-worker-3,jura-worker-2,6.517656,0.06,0.29,2,False,0.01,0.25,1,True,0.06,0.29,2,False
jura-worker-1,jura-worker-3,jura-worker-3,7.273302,0.9,0.56,2,False,0.25,0.32,2,True,0.25,0.32,2,True
jura-worker-2,jura-worker-4,jura-worker-2,6.663049,0.39,0.29,2,False,0.01,0.25,1,True,0.39,0.29,2,False
jura-worker-4,jura-worker-1,jura-worker-1,8.424604,0.04,0.23,1,True,0.93,0.64,3,False,0.93,0.64,3,False
jura-worker-2,jura-worker-4,jura-worker-1,6.702093,0.03,0.25,1,False,0.01,0.25,1,True,0.93,0.59,2,False
jura-worker-2,jura-worker-1,jura-worker-1,8.681939,0.11,0.26,1,False,0.93,0.63,3,False,0.93,0.63,3,False
jura-worker-3,jura-worker-4,jura-worker-3,6.484819,0.1,0.28,2,True,0.01,0.25,1,True,0.1,0.28,2,True
jura-worker-2,jura-worker-4,jura-worker-4,6.659853,0.03,0.25,1,False,0.01,0.28,2,True,0.01,0.28,2,True
jura-worker-3,jura-worker-1,jura-worker-3,6.957438,0.1,0.28,2,True,0.9,0.59,2,False,0.1,0.28,2,True
jura-worker-1,jura-worker-4,jura-worker-2,6.707501,0.9,0.6,3,False,0.01,0.28,2,True,0.08,0.28,1,False
jura-worker-2,jura-worker-2,jura-worker-3,6.572104,0.03,0.28,3,False,0.03,0.28,3,False,0.01,0.27,1,True
jura-worker-1,jura-worker-1,jura-worker-4,7.995348,0.9,0.65,4,False,0.9,0.65,4,False,0.29,0.3,3,True
jura-worker-2,jura-worker-4,jura-worker-1,6.560651,0.02,0.25,1,False,0.13,0.28,2,True,0.92,0.63,3,False
jura-worker-4,jura-worker-2,jura-worker-3,6.434789,0.01,0.23,1,True,0.02,0.27,1,False,0.1,0.3,2,True
jura-worker-1,jura-worker-2,jura-worker-2,6.957462,0.91,0.45,4,False,0.21,0.3,2,False,0.21,0.3,2,False
jura-worker-3,jura-worker-2,jura-worker-2,6.371172,0.01,0.22,1,True,0.27,0.34,3,False,0.27,0.34,3,False
jura-worker-2,jura-worker-1,jura-worker-4,7.823896,0.03,0.25,1,False,0.92,0.68,4,False,0.05,0.26,2,True
jura-worker-1,jura-worker-1,jura-worker-1,8.955079,0.93,0.66,4,False,0.93,0.66,4,False,0.93,0.66,4,False
jura-worker-4,jura-worker-1,jura-worker-3,7.722621,0.24,0.29,3,True,0.9,0.61,3,False,0.19,0.28,1,True
jura-worker-1,jura-worker-1,jura-worker-3,8.000535,0.9,0.62,4,False,0.9,0.62,4,False,0.18,0.27,1,True
jura-worker-1,jura-worker-1,jura-worker-4,8.775294,0.93,0.67,5,False,0.93,0.67,5,False,0.08,0.26,1,True
jura-worker-1,jura-worker-4,jura-worker-3,7.085816,0.9,0.56,2,False,0.01,0.27,2,True,0.08,0.29,2,True
jura-worker-1,jura-worker-3,jura-worker-1,8.88608,0.95,0.61,3,False,0.07,0.37,3,True,0.95,0.61,3,False
jura-worker-3,jura-worker-3,jura-worker-1,6.638776,0.01,0.27,2,True,0.01,0.27,2,True,0.93,0.6,2,False
jura-worker-4,jura-worker-2,jura-worker-2,6.480589,0.02,0.26,3,True,0.19,0.3,2,False,0.19,0.3,2,False
jura-worker-1,jura-worker-2,jura-worker-4,6.916602,0.9,0.56,2,False,0.03,0.3,3,False,0.01,0.26,1,True
jura-worker-3,jura-worker-1,jura-worker-3,7.120903,0.02,0.34,4,True,0.9,0.64,3,False,0.02,0.34,4,True
jura-worker-2,jura-worker-1,jura-worker-1,8.371597,0.16,0.29,3,False,0.93,0.66,4,False,0.93,0.66,4,False
jura-worker-1,jura-worker-4,jura-worker-1,7.114017,0.96,0.67,4,False,0.01,0.25,1,True,0.96,0.67,4,False
jura-worker-3,jura-worker-4,jura-worker-1,6.728412,0.01,0.22,1,True,0.01,0.26,2,True,0.93,0.65,3,False
jura-worker-2,jura-worker-3,jura-worker-2,7.187882,0.19,0.29,3,False,0.1,0.35,3,True,0.19,0.29,3,False
jura-worker-2,jura-worker-3,jura-worker-4,6.525958,0.03,0.26,2,False,0.01,0.26,1,True,0.15,0.31,3,True
jura-worker-1,jura-worker-4,jura-worker-4,6.981068,0.9,0.56,2,False,0.02,0.27,2,True,0.02,0.27,2,True
jura-worker-2,jura-worker-4,jura-worker-1,6.725862,0.02,0.25,1,False,0.01,0.25,1,True,0.95,0.68,4,False
jura-worker-1,jura-worker-4,jura-worker-2,7.288722,0.9,0.57,3,False,0.01,0.25,1,True,0.23,0.31,2,False
jura-worker-2,jura-worker-4,jura-worker-2,6.664212,0.19,0.29,2,False,0.14,0.29,3,True,0.19,0.29,2,False
jura-worker-4,jura-worker-2,jura-worker-3,6.660466,0.01,0.23,1,True,0.02,0.27,1,False,0.12,0.38,4,True
jura-worker-1,jura-worker-2,jura-worker-3,6.679163,0.94,0.61,3,False,0.02,0.27,1,False,0.01,0.27,1,True
jura-worker-4,jura-worker-4,jura-worker-1,7.361938,0.01,0.25,2,True,0.01,0.25,2,True,0.93,0.46,2,False
jura-worker-2,jura-worker-3,jura-worker-1,6.770615,0.02,0.28,2,False,0.01,0.26,1,True,0.91,0.65,3,False
jura-worker-3,jura-worker-3,jura-worker-4,6.719212,0.01,0.26,2,True,0.01,0.26,2,True,0.01,0.29,3,True
jura-worker-3,jura-worker-1,jura-worker-4,7.182257,0.01,0.22,1,True,0.93,0.7,4,False,0.13,0.26,2,True
jura-worker-1,jura-worker-3,jura-worker-2,7.089218,0.9,0.58,3,False,0.01,0.3,2,True,0.27,0.28,1,False
jura-worker-2,jura-worker-4,jura-worker-4,6.984581,0.02,0.26,2,False,0.06,0.3,3,True,0.06,0.3,3,True
jura-worker-3,jura-worker-2,jura-worker-2,6.769612,0.01,0.27,2,True,0.16,0.3,2,False,0.16,0.3,2,False
jura-worker-3,jura-worker-1,jura-worker-3,7.366031,0.01,0.29,2,True,0.92,0.66,3,False,0.01,0.29,2,True
jura-worker-2,jura-worker-2,jura-worker-4,6.660786,0.02,0.31,4,False,0.02,0.31,4,False,0.01,0.26,1,True
jura-worker-3,jura-worker-1,jura-worker-1,8.360912,0.01,0.28,2,True,0.92,0.65,3,False,0.92,0.65,3,False
jura-worker-1,jura-worker-3,jura-worker-3,6.918248,0.9,0.61,3,False,0.01,0.32,2,True,0.01,0.32,2,True
jura-worker-4,jura-worker-3,jura-worker-1,6.830598,0.01,0.23,1,True,0.01,0.26,1,True,0.92,0.62,2,False
jura-worker-4,jura-worker-2,jura-worker-4,6.761492,0.26,0.29,3,True,0.02,0.29,2,False,0.26,0.29,3,True
jura-worker-4,jura-worker-1,jura-worker-2,7.539056,0.11,0.26,3,True,0.9,0.65,3,False,0.16,0.28,1,False
jura-worker-2,jura-worker-3,jura-worker-1,7.113613,0.03,0.25,1,False,0.08,0.32,2,True,0.92,0.67,4,False
jura-worker-1,jura-worker-4,jura-worker-1,7.171328,0.95,0.69,4,False,0.01,0.27,2,True,0.95,0.69,4,False
jura-worker-1,jura-worker-2,jura-worker-3,6.755247,0.9,0.61,3,False,0.02,0.27,1,False,0.01,0.28,1,True
jura-worker-1,jura-worker-3,jura-worker-1,6.563564,0.93,0.65,4,False,0.22,0.32,2,True,0.93,0.65,4,False
jura-worker-1,jura-worker-1,jura-worker-4,8.003144,0.9,0.62,3,False,0.9,0.62,3,False,0.11,0.28,2,True
jura-worker-1,jura-worker-1,jura-worker-3,8.156675,0.9,0.62,3,False,0.9,0.62,3,False,0.1,0.29,2,True
jura-worker-4,jura-worker-1,jura-worker-1,7.818396,0.08,0.26,2,True,0.93,0.7,4,False,0.93,0.7,4,False
jura-worker-4,jura-worker-1,jura-worker-2,7.49966,0.01,0.23,1,True,0.92,0.71,5,False,0.19,0.28,1,False
jura-worker-4,jura-worker-1,jura-worker-3,7.66429,0.01,0.25,2,True,0.93,0.68,3,False,0.01,0.28,2,True
jura-worker-1,jura-worker-3,jura-worker-2,7.129007,0.9,0.57,2,False,0.01,0.26,1,True,0.15,0.29,2,False
jura-worker-4,jura-worker-3,jura-worker-3,6.771432,0.01,0.25,2,True,0.01,0.32,2,True,0.01,0.32,2,True
jura-worker-2,jura-worker-3,jura-worker-2,7.318948,0.15,0.28,2,False,0.01,0.31,3,True,0.15,0.28,2,False
jura-worker-3,jura-worker-1,jura-worker-2,8.106137,0.02,0.23,2,True,0.9,0.6,2,False,0.19,0.3,2,False
jura-worker-2,jura-worker-2,jura-worker-2,7.052428,0.42,0.39,6,False,0.42,0.39,6,False,0.42,0.39,6,False
jura-worker-1,jura-worker-4,jura-worker-3,7.310099,0.9,0.63,4,False,0.01,0.27,2,True,0.01,0.35,3,True
jura-worker-2,jura-worker-2,jura-worker-2,7.03753,0.2,0.32,4,False,0.2,0.32,4,False,0.2,0.32,4,False
jura-worker-1,jura-worker-4,jura-worker-4,7.035254,0.9,0.63,4,False,0.01,0.29,3,True,0.01,0.29,3,True
jura-worker-2,jura-worker-3,jura-worker-1,6.690997,0.12,0.33,4,False,0.01,0.32,4,True,0.9,0.62,2,False
jura-worker-2,jura-worker-3,jura-worker-2,6.702017,0.15,0.29,2,False,0.01,0.33,2,True,0.15,0.29,2,False
jura-worker-3,jura-worker-2,jura-worker-4,6.684016,0.01,0.22,1,True,0.02,0.27,1,False,0.01,0.29,2,True
jura-worker-2,jura-worker-2,jura-worker-1,6.735647,0.16,0.33,4,False,0.16,0.33,4,False,0.92,0.62,2,False
jura-worker-3,jura-worker-2,jura-worker-3,6.642002,0.01,0.32,3,True,0.02,0.28,2,False,0.01,0.32,3,True
jura-worker-4,jura-worker-4,jura-worker-3,6.536131,0.01,0.28,4,True,0.01,0.28,4,True,0.01,0.28,1,True
jura-worker-2,jura-worker-4,jura-worker-3,6.490873,0.02,0.26,2,False,0.01,0.27,2,True,0.01,0.33,2,True
jura-worker-2,jura-worker-3,jura-worker-2,7.551153,0.09,0.29,3,False,0.01,0.43,5,True,0.09,0.29,3,False
jura-worker-4,jura-worker-1,jura-worker-2,7.565654,0.01,0.26,2,True,0.9,0.66,4,False,0.12,0.33,3,False
jura-worker-4,jura-worker-3,jura-worker-1,6.715078,0.01,0.23,2,True,0.01,0.39,3,True,0.92,0.63,3,False
jura-worker-1,jura-worker-4,jura-worker-2,6.924802,0.9,0.66,4,False,0.01,0.25,2,True,0.02,0.3,2,False
jura-worker-3,jura-worker-4,jura-worker-3,6.622389,0.01,0.34,3,True,0.01,0.3,3,True,0.01,0.34,3,True
jura-worker-3,jura-worker-2,jura-worker-4,6.564249,0.01,0.22,1,True,0.25,0.35,4,False,0.01,0.29,3,True
jura-worker-4,jura-worker-3,jura-worker-2,7.085922,0.01,0.23,2,True,0.01,0.32,2,True,0.26,0.31,3,False
jura-worker-3,jura-worker-2,jura-worker-3,6.497222,0.01,0.35,3,True,0.03,0.31,4,False,0.01,0.35,3,True
jura-worker-3,jura-worker-2,jura-worker-4,7.059229,0.07,0.39,5,True,0.02,0.29,2,False,0.02,0.26,2,True
jura-worker-4,jura-worker-3,jura-worker-1,6.631653,0.01,0.25,2,True,0.01,0.32,3,True,0.9,0.64,3,False
jura-worker-4,jura-worker-3,jura-worker-3,6.60739,0.02,0.27,3,True,0.02,0.36,4,True,0.02,0.36,4,True
jura-worker-1,jura-worker-3,jura-worker-4,7.341898,0.9,0.63,4,False,0.01,0.26,1,True,0.01,0.29,3,True
jura-worker-1,jura-worker-4,jura-worker-4,6.882262,0.92,0.65,4,False,0.01,0.3,3,True,0.01,0.3,3,True
jura-worker-1,jura-worker-2,jura-worker-1,6.850446,0.91,0.56,6,False,0.02,0.27,1,False,0.91,0.56,6,False
jura-worker-2,jura-worker-1,jura-worker-2,7.059072,0.17,0.28,2,False,0.9,0.7,4,False,0.17,0.28,2,False
jura-worker-1,jura-worker-3,jura-worker-1,7.088654,0.92,0.66,4,False,0.01,0.33,2,True,0.92,0.66,4,False
jura-worker-2,jura-worker-4,jura-worker-3,6.790953,0.02,0.25,1,False,0.01,0.28,3,True,0.01,0.42,4,True
jura-worker-1,jura-worker-3,jura-worker-3,6.883678,0.9,0.62,3,False,0.01,0.46,4,True,0.01,0.46,4,True
jura-worker-3,jura-worker-2,jura-worker-2,6.628094,0.01,0.22,1,True,0.3,0.36,5,False,0.3,0.36,5,False
jura-worker-2,jura-worker-3,jura-worker-1,6.725919,0.15,0.29,3,False,0.01,0.34,3,True,0.91,0.62,2,False
jura-worker-2,jura-worker-3,jura-worker-3,6.534444,0.03,0.28,2,False,0.02,0.38,4,True,0.02,0.38,4,True
jura-worker-2,jura-worker-4,jura-worker-1,8.611313,0.03,0.25,1,False,0.01,0.33,5,True,0.9,0.63,3,False
jura-worker-4,jura-worker-3,jura-worker-4,6.911833,0.01,0.27,3,True,0.01,0.31,2,True,0.01,0.27,3,True
jura-worker-2,jura-worker-2,jura-worker-4,6.598557,0.2,0.34,5,False,0.2,0.34,5,False,0.01,0.26,1,True
jura-worker-3,jura-worker-4,jura-worker-1,6.523629,0.01,0.27,2,True,0.01,0.3,3,True,0.91,0.68,3,False
jura-worker-3,jura-worker-4,jura-worker-1,6.854949,0.01,0.22,1,True,0.01,0.31,4,True,0.91,0.67,3,False
jura-worker-1,jura-worker-4,jura-worker-4,6.920002,0.92,0.71,5,False,0.01,0.28,2,True,0.01,0.28,2,True
jura-worker-1,jura-worker-3,jura-worker-1,6.856026,0.92,0.62,3,False,0.01,0.37,3,True,0.92,0.62,3,False
jura-worker-4,jura-worker-4,jura-worker-2,6.479852,0.01,0.31,5,True,0.01,0.31,5,True,0.02,0.3,2,False
jura-worker-2,jura-worker-1,jura-worker-4,7.763175,0.02,0.28,2,False,0.92,0.68,4,False,0.01,0.28,3,True
jura-worker-2,jura-worker-2,jura-worker-1,6.6908,0.17,0.34,5,False,0.17,0.34,5,False,0.91,0.66,3,False
jura-worker-3,jura-worker-2,jura-worker-1,6.587413,0.01,0.22,1,True,0.17,0.31,3,False,0.92,0.63,3,False
jura-worker-1,jura-worker-2,jura-worker-2,6.609516,0.9,0.63,3,False,0.03,0.33,3,False,0.03,0.33,3,False
jura-worker-2,jura-worker-1,jura-worker-3,6.92638,0.02,0.28,2,False,0.91,0.72,5,False,0.01,0.36,3,True
jura-worker-2,jura-worker-3,jura-worker-3,6.503458,0.02,0.25,1,False,0.01,0.37,3,True,0.01,0.37,3,True
jura-worker-3,jura-worker-2,jura-worker-1,6.594939,0.01,0.29,2,True,0.03,0.31,4,False,0.9,0.5,2,False
jura-worker-3,jura-worker-4,jura-worker-2,6.705171,0.01,0.31,4,True,0.01,0.3,3,True,0.02,0.28,1,False
jura-worker-2,jura-worker-3,jura-worker-1,6.878217,0.09,0.32,5,False,0.01,0.26,1,True,0.93,0.82,6,False
jura-worker-1,jura-worker-2,jura-worker-3,6.940307,0.93,0.71,5,False,0.03,0.3,3,False,0.01,0.33,3,True
jura-worker-1,jura-worker-4,jura-worker-3,6.783881,0.94,0.77,7,False,0.01,0.28,3,True,0.01,0.35,2,True
jura-worker-2,jura-worker-1,jura-worker-2,7.251199,0.05,0.29,2,False,0.92,0.74,6,False,0.05,0.29,2,False
jura-worker-2,jura-worker-4,jura-worker-3,6.600089,0.03,0.3,3,False,0.01,0.3,4,True,0.01,0.36,3,True
jura-worker-2,jura-worker-4,jura-worker-2,6.62039,0.05,0.29,3,False,0.01,0.3,4,True,0.05,0.29,3,False
jura-worker-1,jura-worker-3,jura-worker-1,6.928847,0.93,0.74,6,False,0.01,0.39,5,True,0.93,0.74,6,False
jura-worker-4,jura-worker-4,jura-worker-4,6.784753,0.01,0.29,4,True,0.01,0.29,4,True,0.01,0.29,4,True
jura-worker-2,jura-worker-1,jura-worker-2,6.90522,0.02,0.28,2,False,0.92,0.72,4,False,0.02,0.28,2,False
jura-worker-3,jura-worker-2,jura-worker-1,6.905283,0.01,0.28,3,True,0.09,0.32,4,False,0.9,0.67,4,False
jura-worker-1,jura-worker-4,jura-worker-1,9.433927,0.94,0.77,7,False,0.01,0.3,3,True,0.94,0.77,7,False
jura-worker-1,jura-worker-4,jura-worker-1,7.249336,0.91,0.69,6,False,0.01,0.34,5,True,0.91,0.69,6,False
jura-worker-3,jura-worker-2,jura-worker-1,6.679857,0.01,0.47,7,True,0.02,0.27,1,False,0.9,0.67,3,False
jura-worker-2,jura-worker-2,jura-worker-1,7.817063,0.16,0.38,6,False,0.16,0.38,6,False,0.9,0.62,3,False
jura-worker-2,jura-worker-1,jura-worker-1,7.417321,0.2,0.31,3,False,0.92,0.69,4,False,0.92,0.69,4,False
jura-worker-1,jura-worker-1,jura-worker-1,8.376476,0.91,0.74,6,False,0.91,0.74,6,False,0.91,0.74,6,False
jura-worker-3,jura-worker-3,jura-worker-4,6.982589,0.01,0.35,4,True,0.01,0.35,4,True,0.01,0.3,4,True
jura-worker-1,jura-worker-4,jura-worker-4,6.845226,0.9,0.63,3,False,0.01,0.38,7,True,0.01,0.38,7,True
jura-worker-3,jura-worker-1,jura-worker-2,7.457808,0.01,0.46,6,True,0.9,0.62,2,False,0.09,0.34,4,False
jura-worker-1,jura-worker-1,jura-worker-4,8.985851,0.93,0.78,7,False,0.93,0.78,7,False,0.01,0.28,3,True
jura-worker-3,jura-worker-1,jura-worker-4,7.017277,0.01,0.38,4,True,0.9,0.6,3,False,0.01,0.32,4,True
jura-worker-2,jura-worker-4,jura-worker-3,6.755363,0.02,0.29,3,False,0.01,0.35,6,True,0.01,0.31,2,True
jura-worker-2,jura-worker-4,jura-worker-1,6.900966,0.09,0.31,3,False,0.01,0.34,6,True,0.91,0.61,2,False
jura-worker-4,jura-worker-4,jura-worker-3,7.155487,0.01,0.28,3,True,0.01,0.28,3,True,0.01,0.4,4,True
jura-worker-3,jura-worker-2,jura-worker-2,6.4943,0.01,0.27,2,True,0.12,0.34,4,False,0.12,0.34,4,False
jura-worker-4,jura-worker-1,jura-worker-1,7.144244,0.01,0.31,5,True,0.92,0.71,6,False,0.92,0.71,6,False
jura-worker-2,jura-worker-1,jura-worker-1,8.499344,0.02,0.26,2,False,0.91,0.75,5,False,0.91,0.75,5,False
jura-worker-2,jura-worker-2,jura-worker-4,6.462669,0.02,0.3,3,False,0.02,0.3,3,False,0.01,0.32,4,True
jura-worker-3,jura-worker-4,jura-worker-2,6.989618,0.01,0.4,4,True,0.01,0.28,3,True,0.07,0.28,2,False
jura-worker-1,jura-worker-4,jura-worker-2,7.643434,0.9,0.61,3,False,0.01,0.28,3,True,0.02,0.28,2,False
jura-worker-4,jura-worker-2,jura-worker-4,6.619152,0.01,0.3,3,True,0.07,0.32,4,False,0.01,0.3,3,True
jura-worker-1,jura-worker-1,jura-worker-2,8.829255,0.92,0.81,8,False,0.92,0.81,8,False,0.1,0.28,2,False
jura-worker-3,jura-worker-2,jura-worker-2,6.878247,0.01,0.27,2,True,0.11,0.31,2,False,0.11,0.31,2,False
jura-worker-1,jura-worker-4,jura-worker-4,7.154748,0.91,0.7,6,False,0.01,0.32,5,True,0.01,0.32,5,True
jura-worker-3,jura-worker-3,jura-worker-1,6.703861,0.01,0.28,3,True,0.01,0.28,3,True,0.94,0.77,6,False
jura-worker-1,jura-worker-3,jura-worker-3,6.723844,0.9,0.65,5,False,0.01,0.45,5,True,0.01,0.45,5,True
jura-worker-4,jura-worker-1,jura-worker-3,7.855049,0.01,0.29,3,True,0.9,0.64,3,False,0.01,0.4,5,True
jura-worker-1,jura-worker-2,jura-worker-2,6.705852,0.9,0.55,2,False,0.22,0.4,5,False,0.22,0.4,5,False
jura-worker-2,jura-worker-4,jura-worker-3,6.604949,0.02,0.27,2,False,0.01,0.36,6,True,0.01,0.36,3,True
jura-worker-3,jura-worker-3,jura-worker-1,6.738322,0.01,0.32,3,True,0.01,0.32,3,True,0.9,0.59,3,False
jura-worker-3,jura-worker-4,jura-worker-2,6.566448,0.01,0.34,3,True,0.01,0.28,3,True,0.24,0.34,4,False
jura-worker-4,jura-worker-2,jura-worker-2,6.232493,0.01,0.23,1,True,0.24,0.31,2,False,0.24,0.31,2,False
jura-worker-2,jura-worker-1,jura-worker-1,6.731399,0.02,0.27,1,False,0.83,0.67,3,False,0.83,0.67,3,False
jura-worker-4,jura-worker-2,jura-worker-3,6.887628,0.01,0.23,1,True,0.02,0.28,1,False,0.14,0.26,1,True
jura-worker-2,jura-worker-3,jura-worker-2,6.503103,0.34,0.29,2,False,0.05,0.26,1,True,0.34,0.29,2,False
jura-worker-1,jura-worker-4,jura-worker-3,6.922241,0.73,0.58,2,False,0.0,0.25,1,True,0.06,0.28,1,True
